Order Date,Sales
2011-01-01,808.563
2011-01-02,314.22
2011-01-03,4503.537200000001
2011-01-04,2808.8702400000006
2011-01-05,3662.3100000000004
2011-01-06,622.5381
2011-01-07,7123.0185
2011-01-08,6293.260000000001
2011-01-09,813.7494
2011-01-10,6794.181159999998
2011-01-11,6451.2517000000025
2011-01-12,2629.71652
2011-01-13,2584.5950000000003
2011-01-14,6280.447500000001
2011-01-15,2279.5305999999996
2011-01-16,149.95
2011-01-17,2309.5292400000003
2011-01-18,932.763
2011-01-19,2054.6910000000003
2011-01-20,2289.2410000000004
2011-01-21,8485.357599999998
2011-01-22,3564.1245000000004
2011-01-23,2163.4300000000003
2011-01-24,3984.3813000000005
2011-01-25,1191.6220000000003
2011-01-26,5422.6763999999985
2011-01-27,2165.3999
2011-01-28,1208.1219999999998
2011-01-29,909.94
2011-01-30,454.88700000000006
2011-01-31,7642.584999999998
2011-02-01,2455.67
2011-02-02,7712.676300000001
2011-02-03,366.64400000000006
2011-02-04,1866.7819999999995
2011-02-05,221.396
2011-02-06,2.688
2011-02-07,1799.1848
2011-02-08,1007.8199999999999
2011-02-09,4575.807360000001
2011-02-10,11865.386000000002
2011-02-11,1007.4273599999999
2011-02-12,2870.7999999999997
2011-02-13,129.56799999999998
2011-02-14,4603.894
2011-02-15,10346.900999999998
2011-02-16,9333.6093
2011-02-17,630.9812000000002
2011-02-18,2301.124
2011-02-19,156.134
2011-02-20,0.0
2011-02-21,4485.642999999999
2011-02-22,2646.1440000000002
2011-02-23,4353.976
2011-02-24,5868.44554
2011-02-25,3393.51712
2011-02-26,4106.661000000001
2011-02-27,624.96
2011-02-28,2418.3169999999996
2011-03-01,12565.766300000001
2011-03-02,4148.3728
2011-03-03,9479.9366
2011-03-04,1243.0729999999999
2011-03-05,834.1659999999999
2011-03-06,135.08
2011-03-07,3863.3620000000005
2011-03-08,9871.403600000001
2011-03-09,722.766
2011-03-10,4109.667999999999
2011-03-11,2933.80812
2011-03-12,4636.7480000000005
2011-03-13,0.0
2011-03-14,6627.33
2011-03-15,1824.6240000000005
2011-03-16,1160.8820000000003
2011-03-17,4614.012999999999
2011-03-18,30117.546200000004
2011-03-19,971.4619999999999
2011-03-20,0.0
2011-03-21,10681.922139999999
2011-03-22,3879.7969999999996
2011-03-23,5070.3631000000005
2011-03-24,1363.384
2011-03-25,3267.1712599999996
2011-03-26,856.4449999999999
2011-03-27,29.814
2011-03-28,4261.49644
2011-03-29,2950.3782
2011-03-30,5760.512600000001
2011-03-31,7748.075999999999
2011-04-01,2582.8010000000013
2011-04-02,8922.054
2011-04-03,879.2599999999999
2011-04-04,5723.199479999998
2011-04-05,10266.554299999996
2011-04-06,4672.516
2011-04-07,3439.49
2011-04-08,6800.4259999999995
2011-04-09,367.365
2011-04-10,0.0
2011-04-11,4548.4736
2011-04-12,4013.3250000000003
2011-04-13,3053.3892000000014
2011-04-14,6250.893999999999
2011-04-15,1727.692
2011-04-16,4039.898000000001
2011-04-17,0.0
2011-04-18,5905.0504999999985
2011-04-19,2861.8180000000007
2011-04-20,4136.99
2011-04-21,4701.6900000000005
2011-04-22,7061.9661
2011-04-23,772.1399999999999
2011-04-24,165.81599999999997
2011-04-25,5028.6025
2011-04-26,2086.2285
2011-04-27,8435.276999999998
2011-04-28,3908.2380000000007
2011-04-29,3070.8260000000005
2011-04-30,1493.7840000000003
2011-05-01,0.0
2011-05-02,9275.206999999999
2011-05-03,5259.2939
2011-05-04,7512.656700000002
2011-05-05,2998.255
2011-05-06,5964.679679999998
2011-05-07,1983.5140000000006
2011-05-08,2501.4930000000004
2011-05-09,5018.485739999998
2011-05-10,5825.5265
2011-05-11,2821.097
2011-05-12,5518.592000000001
2011-05-13,6773.806000000002
2011-05-14,4542.15
2011-05-15,193.9275
2011-05-16,1568.4530000000002
2011-05-17,3523.5690000000004
2011-05-18,9233.354399999998
2011-05-19,3039.9052
2011-05-20,1291.3950000000002
2011-05-21,10643.691000000004
2011-05-22,225.89
2011-05-23,6533.043999999999
2011-05-24,10474.021600000002
2011-05-25,3042.062
2011-05-26,5963.664999999998
2011-05-27,5867.767
2011-05-28,2104.2679
2011-05-29,0.0
2011-05-30,8638.323100000001
2011-05-31,8409.743879999996
2011-06-01,11480.492699999997
2011-06-02,12516.593299999999
2011-06-03,11349.365000000003
2011-06-04,1924.0829999999996
2011-06-05,1139.3400000000001
2011-06-06,10266.100000000002
2011-06-07,16750.669159999987
2011-06-08,9526.714600000005
2011-06-09,10247.062000000002
2011-06-10,5473.2366
2011-06-11,3161.3019999999997
2011-06-12,37.464
2011-06-13,6576.145760000002
2011-06-14,4947.343499999997
2011-06-15,6110.875499999998
2011-06-16,4009.4889999999996
2011-06-17,14495.522159999993
2011-06-18,5516.986000000003
2011-06-19,57.9
2011-06-20,8528.583760000001
2011-06-21,8718.351000000004
2011-06-22,19196.0446
2011-06-23,3133.561
2011-06-24,5390.39244
2011-06-25,5901.028140000001
2011-06-26,1269.252
2011-06-27,6654.4935000000005
2011-06-28,7198.396799999999
2011-06-29,8332.5323
2011-06-30,5298.060400000002
2011-07-01,3844.656000000001
2011-07-02,388.955
2011-07-03,0.0
2011-07-04,1982.4308999999998
2011-07-05,3723.7455
2011-07-06,3773.45656
2011-07-07,4855.945120000001
2011-07-08,3385.2660000000005
2011-07-09,2023.0790000000006
2011-07-10,0.0
2011-07-11,5228.10488
2011-07-12,5227.161000000002
2011-07-13,1940.142
2011-07-14,3035.1459999999993
2011-07-15,933.7475999999999
2011-07-16,3626.502000000001
2011-07-17,355.0
2011-07-18,5443.5756
2011-07-19,4766.404799999999
2011-07-20,7975.5875
2011-07-21,6100.88292
2011-07-22,3074.46
2011-07-23,3859.005199999999
2011-07-24,101.47999999999999
2011-07-25,12335.771999999997
2011-07-26,7916.3664
2011-07-27,9804.38074
2011-07-28,3210.4893000000006
2011-07-29,1917.4847
2011-07-30,4205.2388
2011-07-31,475.9536
2011-08-01,6769.121500000001
2011-08-02,5344.5065
2011-08-03,10667.976399999998
2011-08-04,13623.401499999989
2011-08-05,5711.446399999998
2011-08-06,1072.5959999999998
2011-08-07,37.86
2011-08-08,8099.0470000000005
2011-08-09,13284.497999999998
2011-08-10,13151.891000000003
2011-08-11,7410.920999999999
2011-08-12,8969.596899999997
2011-08-13,2603.0519999999997
2011-08-14,0.0
2011-08-15,6933.397999999998
2011-08-16,13436.168300000003
2011-08-17,6625.603999999998
2011-08-18,9052.81576
2011-08-19,10154.612999999998
2011-08-20,3032.602
2011-08-21,2995.5723
2011-08-22,5180.476920000002
2011-08-23,3310.3500000000004
2011-08-24,5164.883919999998
2011-08-25,9633.2171
2011-08-26,8122.276199999999
2011-08-27,5397.358
2011-08-28,0.0
2011-08-29,7613.0608200000015
2011-08-30,8905.7286
2011-08-31,5277.4520999999995
2011-09-01,7250.914
2011-09-02,14364.146799999995
2011-09-03,813.54
2011-09-04,0.0
2011-09-05,4149.8752
2011-09-06,10296.679359999998
2011-09-07,6333.653000000002
2011-09-08,36827.74592
2011-09-09,11577.035680000005
2011-09-10,3268.4308
2011-09-11,1367.97
2011-09-12,14077.432679999998
2011-09-13,6391.792999999998
2011-09-14,17720.99817999999
2011-09-15,10736.176599999999
2011-09-16,5407.080900000001
2011-09-17,2466.3349999999996
2011-09-18,750.24
2011-09-19,16203.337359999998
2011-09-20,13651.333399999998
2011-09-21,9810.803199999997
2011-09-22,9066.5295
2011-09-23,23866.898999999994
2011-09-24,4393.344
2011-09-25,6371.580800000001
2011-09-26,8477.01134
2011-09-27,15354.154880000006
2011-09-28,11437.54183999999
2011-09-29,11746.71
2011-09-30,6035.162899999999
2011-10-01,1624.2071200000003
2011-10-02,598.144
2011-10-03,8662.521279999999
2011-10-04,8180.71572
2011-10-05,2596.1845000000008
2011-10-06,17181.1931
2011-10-07,11291.249920000002
2011-10-08,3840.9008000000003
2011-10-09,249.35999999999999
2011-10-10,7857.714799999999
2011-10-11,2025.2895000000003
2011-10-12,4656.311999999998
2011-10-13,9798.957979999997
2011-10-14,14453.231100000005
2011-10-15,8231.756720000003
2011-10-16,1364.09648
2011-10-17,5983.018659999999
2011-10-18,8290.87736
2011-10-19,8883.0806
2011-10-20,7524.298500000001
2011-10-21,7271.477400000001
2011-10-22,4953.815999999999
2011-10-23,0.0
2011-10-24,4550.6770000000015
2011-10-25,4802.985000000001
2011-10-26,8069.422899999999
2011-10-27,17289.68589999999
2011-10-28,5778.581699999998
2011-10-29,5022.808
2011-10-30,133.26
2011-10-31,7905.4400000000005
2011-11-01,18667.51056000001
2011-11-02,8691.009000000004
2011-11-03,19275.087599999995
2011-11-04,18652.757999999994
2011-11-05,10385.699799999999
2011-11-06,1555.6215
2011-11-07,13232.5699
2011-11-08,4292.2318000000005
2011-11-09,12155.4545
2011-11-10,10174.022
2011-11-11,24402.39877999999
2011-11-12,4232.559199999999
2011-11-13,345.76
2011-11-14,12537.595800000006
2011-11-15,10494.6696
2011-11-16,8008.893200000001
2011-11-17,14062.808200000001
2011-11-18,13514.934399999996
2011-11-19,9876.243999999999
2011-11-20,975.0
2011-11-21,5411.863999999997
2011-11-22,9528.561679999999
2011-11-23,8510.63296
2011-11-24,10785.4121
2011-11-25,18118.762319999998
2011-11-26,6403.179999999999
2011-11-27,302.75
2011-11-28,9289.640720000005
2011-11-29,8444.322400000003
2011-11-30,6168.5835
2011-12-01,14118.325200000005
2011-12-02,7294.1810000000005
2011-12-03,9013.214799999996
2011-12-04,615.2
2011-12-05,10388.71264
2011-12-06,12460.333499999999
2011-12-07,10246.562
2011-12-08,13338.557499999999
2011-12-09,14316.202399999998
2011-12-10,5847.550300000001
2011-12-11,796.6350400000001
2011-12-12,10224.353579999997
2011-12-13,14356.21064
2011-12-14,14350.154099999994
2011-12-15,15078.047999999999
2011-12-16,14190.514399999995
2011-12-17,13732.139399999995
2011-12-18,0.0
2011-12-19,10801.104360000001
2011-12-20,21881.9314
2011-12-21,13003.040239999997
2011-12-22,12810.891299999997
2011-12-23,10609.91348
2011-12-24,9788.526
2011-12-25,539.2235
2011-12-26,14832.921500000004
2011-12-27,15140.172699999997
2011-12-28,18801.06272
2011-12-29,10904.202899999998
2011-12-30,6705.186999999999
2011-12-31,7740.6630000000005
2012-01-01,0.0
2012-01-02,10006.664700000001
2012-01-03,3453.3043
2012-01-04,2617.8439000000003
2012-01-05,5662.2249999999985
2012-01-06,544.5139999999999
2012-01-07,3699.814
2012-01-08,2176.452
2012-01-09,3598.2800000000007
2012-01-10,6298.249000000001
2012-01-11,8259.468
2012-01-12,8385.098000000004
2012-01-13,7106.169999999998
2012-01-14,2041.0230000000001
2012-01-15,0.0
2012-01-16,8370.401999999998
2012-01-17,6562.912999999998
2012-01-18,4541.032
2012-01-19,3370.9543999999996
2012-01-20,3578.8797
2012-01-21,1382.5700000000002
2012-01-22,1493.13
2012-01-23,9669.3469
2012-01-24,3226.7200000000003
2012-01-25,3514.215
2012-01-26,3413.5885
2012-01-27,9422.532000000001
2012-01-28,7629.489840000001
2012-01-29,876.6600000000001
2012-01-30,3633.518
2012-01-31,1245.663
2012-02-01,1655.2548999999997
2012-02-02,11630.772
2012-02-03,957.816
2012-02-04,4976.209239999999
2012-02-05,396.84
2012-02-06,8730.321
2012-02-07,4020.9500000000003
2012-02-08,2318.80634
2012-02-09,4527.562000000001
2012-02-10,3683.7682999999993
2012-02-11,203.928
2012-02-12,156.54
2012-02-13,4968.7555999999995
2012-02-14,4814.3652
2012-02-15,5439.310000000001
